Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),956
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),660
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1970
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1938
Bus - StL Bus Index,Origin,N/A,27053104400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),1869
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),537
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),59
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),156
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),166
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),117
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),533
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),34
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),64
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),157
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),171
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),107
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),479
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),51
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),44
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),132
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),133
Bus - StL Bus Index,Origin,N/A,27053104801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),120
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2902
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),100
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),382
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),937
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),989
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),493
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3251
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),85
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),459
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1051
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1159
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),497
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1879
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),140
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),168
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),567
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),575
Bus - StL Bus Index,Origin,N/A,27053104802,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),429
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3515
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),61
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),345
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1192
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1344
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),573
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),4015
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),43
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),421
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1387
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1585
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),579
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2078
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),104
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),140
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),644
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),695
Bus - StL Bus Index,Origin,N/A,27053104901,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),495
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1377
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),42
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),191
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),440
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),498
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),207
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1465
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),33
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),230
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),465
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),571
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),166
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1041
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),56
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),94
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),336
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),327
Bus - StL Bus Index,Origin,N/A,27053104902,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),228
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1487
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),40
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),207
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),518
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),478
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),244
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1695
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),33
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),237
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),599
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),570
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),256
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1023
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),64
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),101
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),359
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),304
Bus - StL Bus Index,Origin,N/A,27053105201,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),194
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2435
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),118
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),417
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),812
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),679
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),409
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2358
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),93
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),456
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),784
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),674
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),351
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2352
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),181
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),265
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),840
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),681
Bus - StL Bus Index,Origin,N/A,27053105204,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),386
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3813
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),154
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),541
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1261
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1306
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),551
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),4231
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),122
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),642
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1444
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1534
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),489
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2507
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),241
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),270
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),734
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),716
Bus - StL Bus Index,Origin,N/A,27053105400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),547
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),937
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),29
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),167
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),314
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),257
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),170
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),929
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),25
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),211
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),301
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),241
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),150
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),859
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),35
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),62
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),325
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),274
Bus - StL Bus Index,Origin,N/A,27053105500,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),162
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1363
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),50
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),290
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),443
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),362
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),218
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1386
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),46
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),340
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),431
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),362
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),207
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1227
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),65
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),162
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),443
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),337
Bus - StL Bus Index,Origin,N/A,27053105600,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),219
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1016
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),35
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),179
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),369
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),283
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),149
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1054
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),35
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),212
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),369
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),306
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),132
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),844
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),36
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),81
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),334
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),220
Bus - StL Bus Index,Origin,N/A,27053105700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),174
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1320
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),54
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),177
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),482
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),436
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),171
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1409
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),49
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),212
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),501
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),487
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),160
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),993
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),69
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),87
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),387
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),288
Bus - StL Bus Index,Origin,N/A,27053106000,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),162
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1433
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),47
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),216
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),464
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),466
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),240
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1484
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),37
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),262
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),475
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),487
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),224
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1209
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),77
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),103
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),419
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),371
Bus - StL Bus Index,Origin,N/A,27053106200,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),239
Bus - StL Bus Index,Origin,N/A,27053106400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),400
