Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),650,0.215,0.145,0.139,0.224,0.132,0.065,0.033,0.028,0.019,0.140,0.242,0.303,0.207,0.108,0.681,0.145,0.015,0.049,0.001,0.063,0.046,0.114,0.293,0.707,0.159,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),21,0.189,0.148,0.119,0.294,0.137,0.072,0.017,0.015,0.009,0.196,0.166,0.334,0.183,0.121,0.642,0.150,0.011,0.042,0.000,0.117,0.038,0.174,0.305,0.695,0.174,0.233
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),112,0.206,0.126,0.131,0.255,0.145,0.059,0.041,0.021,0.016,0.131,0.252,0.315,0.199,0.103,0.725,0.109,0.014,0.034,0.000,0.069,0.049,0.120,0.287,0.713,0.158,0.196
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),230,0.212,0.148,0.138,0.220,0.131,0.070,0.031,0.029,0.021,0.140,0.242,0.301,0.208,0.109,0.679,0.153,0.016,0.051,0.000,0.057,0.044,0.108,0.298,0.702,0.160,0.216
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),193,0.219,0.148,0.141,0.214,0.130,0.064,0.033,0.031,0.020,0.139,0.244,0.301,0.210,0.106,0.678,0.148,0.015,0.053,0.001,0.057,0.048,0.108,0.293,0.707,0.161,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),94,0.237,0.158,0.148,0.202,0.119,0.058,0.030,0.026,0.022,0.140,0.243,0.293,0.212,0.112,0.659,0.159,0.014,0.054,0.001,0.066,0.047,0.119,0.283,0.717,0.151,0.201
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),643,0.221,0.147,0.139,0.223,0.130,0.062,0.033,0.026,0.019,0.142,0.242,0.305,0.204,0.107,0.679,0.148,0.015,0.048,0.000,0.064,0.046,0.117,0.289,0.711,0.157,0.206
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),14,0.172,0.137,0.122,0.311,0.139,0.070,0.022,0.013,0.014,0.182,0.164,0.334,0.193,0.127,0.676,0.129,0.010,0.052,0.000,0.092,0.041,0.145,0.294,0.706,0.167,0.221
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),135,0.208,0.126,0.131,0.259,0.143,0.057,0.040,0.020,0.016,0.131,0.245,0.320,0.199,0.105,0.735,0.103,0.013,0.034,0.000,0.067,0.048,0.122,0.280,0.720,0.156,0.189
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),210,0.224,0.150,0.138,0.212,0.129,0.067,0.031,0.028,0.021,0.149,0.249,0.297,0.202,0.103,0.654,0.169,0.017,0.052,0.000,0.064,0.044,0.116,0.301,0.699,0.161,0.221
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),198,0.214,0.151,0.142,0.214,0.131,0.064,0.033,0.031,0.020,0.137,0.238,0.302,0.213,0.110,0.680,0.148,0.015,0.050,0.001,0.059,0.047,0.112,0.285,0.715,0.155,0.204
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),86,0.261,0.167,0.149,0.196,0.110,0.049,0.024,0.024,0.020,0.150,0.249,0.292,0.201,0.108,0.636,0.177,0.015,0.057,0.001,0.065,0.049,0.121,0.283,0.717,0.150,0.202
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),602,0.205,0.143,0.136,0.227,0.135,0.072,0.033,0.030,0.019,0.134,0.235,0.305,0.214,0.112,0.698,0.132,0.016,0.046,0.000,0.062,0.046,0.111,0.292,0.708,0.160,0.208
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),30,0.208,0.153,0.116,0.268,0.136,0.077,0.013,0.022,0.007,0.197,0.169,0.336,0.175,0.123,0.635,0.160,0.012,0.031,0.000,0.127,0.035,0.188,0.301,0.699,0.171,0.231
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),57,0.205,0.125,0.135,0.230,0.150,0.067,0.042,0.029,0.017,0.137,0.267,0.301,0.202,0.093,0.667,0.144,0.018,0.042,0.000,0.077,0.052,0.122,0.304,0.696,0.166,0.215
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),259,0.191,0.143,0.135,0.233,0.137,0.077,0.032,0.032,0.020,0.124,0.229,0.307,0.220,0.120,0.715,0.123,0.017,0.051,0.000,0.049,0.045,0.097,0.292,0.708,0.156,0.208
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),167,0.220,0.143,0.137,0.217,0.130,0.064,0.036,0.033,0.020,0.141,0.246,0.296,0.214,0.103,0.692,0.141,0.016,0.044,0.001,0.058,0.048,0.105,0.298,0.702,0.168,0.209
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),89,0.214,0.154,0.149,0.201,0.131,0.069,0.033,0.026,0.023,0.123,0.234,0.303,0.224,0.116,0.701,0.122,0.012,0.045,0.001,0.073,0.046,0.125,0.273,0.727,0.144,0.193
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),876,0.257,0.136,0.169,0.183,0.115,0.054,0.031,0.035,0.020,0.133,0.261,0.321,0.191,0.094,0.674,0.152,0.018,0.049,0.000,0.055,0.052,0.111,0.281,0.719,0.153,0.203
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),40,0.253,0.153,0.152,0.184,0.103,0.058,0.038,0.035,0.024,0.144,0.245,0.294,0.208,0.109,0.681,0.149,0.014,0.059,0.001,0.055,0.041,0.097,0.279,0.721,0.142,0.206
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),175,0.291,0.125,0.193,0.185,0.103,0.037,0.024,0.032,0.010,0.137,0.285,0.354,0.153,0.071,0.664,0.150,0.023,0.041,0.001,0.060,0.061,0.129,0.270,0.730,0.153,0.191
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),226,0.264,0.141,0.161,0.177,0.118,0.055,0.031,0.034,0.019,0.150,0.263,0.315,0.186,0.086,0.656,0.167,0.018,0.049,0.000,0.063,0.047,0.116,0.296,0.704,0.161,0.216
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),253,0.250,0.128,0.172,0.190,0.117,0.054,0.032,0.036,0.021,0.125,0.260,0.322,0.197,0.096,0.675,0.152,0.019,0.051,0.000,0.048,0.055,0.101,0.273,0.727,0.147,0.196
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),182,0.221,0.147,0.155,0.176,0.124,0.071,0.036,0.040,0.030,0.117,0.239,0.302,0.223,0.119,0.700,0.136,0.015,0.051,0.000,0.053,0.045,0.105,0.287,0.713,0.152,0.210
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),805,0.269,0.134,0.172,0.181,0.113,0.051,0.029,0.034,0.017,0.140,0.264,0.327,0.182,0.087,0.657,0.162,0.019,0.048,0.001,0.059,0.054,0.117,0.285,0.715,0.156,0.206
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),23,0.307,0.144,0.169,0.173,0.097,0.046,0.027,0.030,0.007,0.172,0.273,0.324,0.158,0.073,0.667,0.158,0.014,0.047,0.001,0.062,0.051,0.107,0.262,0.738,0.135,0.192
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),205,0.291,0.126,0.192,0.181,0.105,0.037,0.024,0.032,0.012,0.139,0.284,0.353,0.153,0.071,0.669,0.151,0.021,0.040,0.001,0.058,0.060,0.125,0.271,0.729,0.153,0.192
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),207,0.273,0.140,0.160,0.173,0.118,0.056,0.030,0.033,0.017,0.162,0.261,0.316,0.180,0.081,0.634,0.181,0.018,0.049,0.000,0.072,0.046,0.127,0.306,0.694,0.167,0.224
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),240,0.259,0.128,0.172,0.191,0.114,0.051,0.030,0.036,0.019,0.129,0.263,0.324,0.190,0.094,0.659,0.159,0.020,0.053,0.001,0.050,0.058,0.103,0.275,0.725,0.148,0.199
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),130,0.235,0.148,0.155,0.176,0.119,0.069,0.034,0.037,0.027,0.123,0.236,0.308,0.221,0.112,0.675,0.155,0.016,0.048,0.000,0.058,0.048,0.114,0.297,0.703,0.160,0.216
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),954,0.233,0.139,0.166,0.187,0.121,0.060,0.034,0.037,0.023,0.121,0.259,0.312,0.206,0.102,0.708,0.126,0.018,0.051,0.000,0.049,0.048,0.103,0.275,0.725,0.145,0.199
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),87,0.206,0.159,0.140,0.194,0.110,0.069,0.047,0.039,0.036,0.116,0.226,0.278,0.246,0.134,0.700,0.135,0.015,0.069,0.000,0.046,0.035,0.087,0.295,0.705,0.147,0.221
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),101,0.293,0.124,0.197,0.197,0.098,0.032,0.022,0.031,0.006,0.128,0.297,0.360,0.144,0.071,0.655,0.140,0.030,0.048,0.001,0.059,0.067,0.133,0.261,0.739,0.149,0.185
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),268,0.252,0.140,0.168,0.186,0.119,0.054,0.029,0.033,0.019,0.134,0.275,0.317,0.188,0.086,0.699,0.128,0.018,0.047,0.000,0.057,0.051,0.112,0.278,0.722,0.152,0.200
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),259,0.221,0.133,0.166,0.190,0.126,0.065,0.036,0.039,0.024,0.117,0.251,0.315,0.218,0.099,0.704,0.137,0.017,0.047,0.000,0.046,0.049,0.101,0.274,0.726,0.146,0.196
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),240,0.209,0.144,0.159,0.180,0.130,0.071,0.037,0.041,0.029,0.111,0.246,0.296,0.224,0.123,0.744,0.104,0.015,0.054,0.000,0.041,0.042,0.087,0.272,0.728,0.135,0.201
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),929,0.224,0.149,0.152,0.190,0.117,0.065,0.036,0.046,0.021,0.129,0.236,0.287,0.232,0.116,0.707,0.133,0.015,0.046,0.001,0.057,0.041,0.106,0.255,0.745,0.137,0.179
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38,0.241,0.148,0.157,0.179,0.117,0.057,0.033,0.045,0.023,0.135,0.236,0.277,0.235,0.117,0.724,0.113,0.022,0.039,0.000,0.052,0.050,0.103,0.222,0.778,0.124,0.151
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),194,0.243,0.151,0.158,0.193,0.109,0.054,0.033,0.049,0.010,0.145,0.245,0.291,0.218,0.101,0.689,0.148,0.015,0.040,0.002,0.068,0.038,0.121,0.242,0.758,0.134,0.167
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),274,0.209,0.148,0.154,0.195,0.123,0.069,0.036,0.045,0.021,0.129,0.244,0.290,0.229,0.108,0.703,0.132,0.015,0.046,0.001,0.061,0.042,0.110,0.270,0.730,0.144,0.193
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),256,0.223,0.147,0.151,0.188,0.116,0.067,0.038,0.046,0.024,0.123,0.232,0.284,0.236,0.125,0.714,0.128,0.015,0.048,0.001,0.052,0.042,0.099,0.253,0.747,0.136,0.176
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),168,0.227,0.149,0.142,0.186,0.118,0.068,0.039,0.042,0.029,0.115,0.221,0.285,0.245,0.134,0.714,0.131,0.014,0.055,0.001,0.045,0.040,0.092,0.258,0.742,0.136,0.185
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),895,0.229,0.149,0.153,0.192,0.115,0.062,0.035,0.047,0.018,0.135,0.237,0.285,0.229,0.114,0.699,0.137,0.016,0.046,0.002,0.058,0.042,0.107,0.251,0.749,0.136,0.175
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31,0.238,0.138,0.169,0.188,0.111,0.056,0.030,0.050,0.020,0.143,0.233,0.270,0.241,0.113,0.739,0.096,0.025,0.029,0.001,0.054,0.056,0.111,0.204,0.796,0.116,0.134
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),230,0.245,0.150,0.156,0.193,0.109,0.052,0.034,0.051,0.010,0.147,0.245,0.290,0.217,0.101,0.690,0.146,0.016,0.039,0.003,0.068,0.038,0.117,0.237,0.763,0.132,0.163
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),238,0.207,0.152,0.154,0.197,0.120,0.069,0.036,0.046,0.019,0.134,0.244,0.293,0.224,0.105,0.696,0.141,0.015,0.048,0.001,0.058,0.041,0.106,0.270,0.730,0.144,0.194
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),253,0.232,0.145,0.150,0.189,0.115,0.065,0.036,0.046,0.022,0.130,0.234,0.283,0.233,0.120,0.701,0.134,0.016,0.049,0.002,0.054,0.044,0.103,0.254,0.746,0.138,0.176
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),142,0.231,0.152,0.145,0.189,0.115,0.064,0.036,0.043,0.025,0.121,0.219,0.273,0.249,0.138,0.710,0.133,0.016,0.052,0.001,0.047,0.041,0.096,0.246,0.754,0.131,0.173
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),898,0.215,0.148,0.147,0.187,0.123,0.070,0.038,0.044,0.028,0.115,0.231,0.287,0.241,0.126,0.719,0.124,0.013,0.046,0.001,0.057,0.040,0.106,0.262,0.738,0.139,0.187
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),56,0.255,0.166,0.133,0.169,0.119,0.058,0.038,0.037,0.025,0.126,0.234,0.286,0.226,0.128,0.685,0.156,0.018,0.060,0.000,0.044,0.037,0.085,0.267,0.733,0.147,0.190
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,0.228,0.163,0.156,0.186,0.117,0.065,0.028,0.042,0.015,0.124,0.244,0.287,0.234,0.111,0.658,0.174,0.012,0.043,0.002,0.073,0.038,0.138,0.257,0.743,0.143,0.177
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),330,0.213,0.144,0.155,0.194,0.124,0.069,0.034,0.042,0.025,0.123,0.240,0.284,0.238,0.115,0.717,0.115,0.014,0.043,0.001,0.067,0.043,0.121,0.266,0.734,0.142,0.189
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),251,0.207,0.149,0.148,0.185,0.119,0.070,0.044,0.047,0.031,0.109,0.221,0.282,0.249,0.139,0.748,0.109,0.013,0.043,0.001,0.050,0.036,0.094,0.242,0.758,0.125,0.171
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),174,0.212,0.138,0.131,0.182,0.130,0.079,0.045,0.046,0.037,0.097,0.219,0.309,0.241,0.134,0.725,0.126,0.010,0.056,0.001,0.042,0.040,0.083,0.289,0.711,0.149,0.211
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),712,0.274,0.177,0.100,0.189,0.085,0.059,0.032,0.037,0.047,0.077,0.148,0.265,0.305,0.205,0.744,0.079,0.014,0.099,0.000,0.031,0.033,0.075,0.177,0.823,0.087,0.129
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38,0.286,0.178,0.103,0.191,0.089,0.058,0.025,0.032,0.038,0.102,0.182,0.268,0.272,0.176,0.689,0.122,0.020,0.090,0.001,0.045,0.033,0.097,0.212,0.788,0.113,0.149
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),180,0.300,0.196,0.082,0.189,0.070,0.049,0.027,0.037,0.050,0.066,0.117,0.254,0.331,0.232,0.756,0.054,0.013,0.116,0.000,0.030,0.031,0.075,0.130,0.870,0.066,0.091
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),202,0.262,0.169,0.104,0.189,0.089,0.063,0.035,0.038,0.051,0.076,0.156,0.270,0.300,0.198,0.754,0.077,0.015,0.092,0.001,0.027,0.034,0.067,0.192,0.808,0.090,0.145
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),189,0.262,0.170,0.105,0.196,0.089,0.064,0.032,0.036,0.046,0.082,0.154,0.268,0.300,0.196,0.736,0.087,0.014,0.097,0.000,0.031,0.035,0.077,0.196,0.804,0.096,0.142
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),103,0.271,0.174,0.114,0.176,0.093,0.058,0.037,0.037,0.040,0.079,0.160,0.270,0.293,0.198,0.739,0.092,0.012,0.091,0.000,0.032,0.034,0.076,0.183,0.817,0.092,0.132
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),725,0.277,0.177,0.096,0.190,0.083,0.059,0.032,0.037,0.049,0.076,0.144,0.265,0.308,0.207,0.744,0.077,0.014,0.103,0.000,0.029,0.033,0.073,0.174,0.826,0.085,0.127
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),32,0.274,0.176,0.098,0.198,0.093,0.058,0.027,0.032,0.044,0.089,0.182,0.279,0.272,0.178,0.729,0.092,0.021,0.092,0.000,0.037,0.029,0.085,0.193,0.807,0.098,0.137
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),237,0.304,0.196,0.080,0.188,0.068,0.049,0.027,0.037,0.051,0.065,0.111,0.255,0.333,0.236,0.761,0.050,0.013,0.117,0.000,0.028,0.031,0.072,0.124,0.876,0.062,0.087
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),190,0.263,0.163,0.104,0.188,0.090,0.065,0.036,0.039,0.052,0.075,0.158,0.271,0.300,0.196,0.745,0.080,0.018,0.096,0.001,0.026,0.034,0.066,0.201,0.799,0.094,0.153
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),183,0.260,0.165,0.104,0.198,0.089,0.066,0.033,0.037,0.048,0.084,0.156,0.267,0.300,0.193,0.729,0.093,0.013,0.100,0.000,0.031,0.034,0.077,0.205,0.795,0.101,0.150
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),83,0.283,0.177,0.107,0.177,0.092,0.056,0.035,0.034,0.039,0.085,0.165,0.268,0.288,0.194,0.726,0.104,0.011,0.091,0.000,0.032,0.036,0.081,0.181,0.819,0.088,0.132
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),600,0.274,0.180,0.111,0.182,0.089,0.057,0.033,0.034,0.040,0.081,0.157,0.267,0.297,0.198,0.741,0.084,0.016,0.091,0.000,0.034,0.034,0.080,0.180,0.820,0.093,0.128
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),50,0.320,0.165,0.114,0.175,0.093,0.052,0.026,0.028,0.027,0.129,0.190,0.265,0.254,0.162,0.617,0.166,0.021,0.094,0.001,0.061,0.040,0.117,0.254,0.746,0.142,0.180
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),61,0.293,0.187,0.107,0.181,0.084,0.051,0.031,0.028,0.038,0.072,0.165,0.262,0.301,0.200,0.735,0.087,0.014,0.093,0.000,0.040,0.031,0.091,0.161,0.839,0.089,0.106
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),197,0.259,0.188,0.102,0.188,0.086,0.059,0.032,0.037,0.049,0.079,0.146,0.256,0.312,0.207,0.771,0.066,0.014,0.088,0.000,0.029,0.032,0.071,0.161,0.839,0.079,0.117
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),177,0.279,0.181,0.111,0.184,0.087,0.055,0.031,0.035,0.037,0.078,0.152,0.274,0.297,0.199,0.750,0.076,0.018,0.091,0.000,0.030,0.035,0.078,0.178,0.822,0.089,0.129
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),115,0.262,0.166,0.126,0.175,0.097,0.061,0.042,0.034,0.037,0.073,0.163,0.278,0.291,0.195,0.739,0.088,0.014,0.093,0.000,0.033,0.033,0.074,0.191,0.809,0.105,0.134
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),655,0.326,0.155,0.133,0.150,0.076,0.064,0.025,0.032,0.039,0.060,0.171,0.280,0.288,0.201,0.763,0.079,0.009,0.098,0.000,0.023,0.028,0.052,0.193,0.807,0.095,0.140
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),19,0.297,0.145,0.141,0.151,0.097,0.072,0.035,0.033,0.029,0.097,0.203,0.283,0.258,0.159,0.760,0.093,0.009,0.076,0.000,0.029,0.033,0.065,0.235,0.765,0.113,0.183
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),143,0.361,0.168,0.132,0.142,0.061,0.060,0.017,0.023,0.036,0.040,0.161,0.282,0.294,0.223,0.745,0.088,0.009,0.113,0.000,0.019,0.026,0.043,0.169,0.831,0.088,0.119
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),204,0.329,0.155,0.129,0.151,0.074,0.065,0.024,0.033,0.040,0.060,0.170,0.286,0.283,0.201,0.774,0.068,0.008,0.100,0.001,0.022,0.027,0.049,0.187,0.813,0.090,0.137
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),178,0.289,0.150,0.139,0.156,0.087,0.069,0.029,0.038,0.043,0.064,0.176,0.282,0.287,0.191,0.771,0.075,0.009,0.089,0.000,0.026,0.030,0.058,0.214,0.786,0.105,0.156
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),111,0.332,0.152,0.133,0.149,0.077,0.060,0.028,0.032,0.037,0.072,0.172,0.263,0.297,0.196,0.752,0.090,0.008,0.094,0.000,0.026,0.030,0.058,0.191,0.809,0.094,0.138
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),657,0.333,0.158,0.133,0.150,0.073,0.063,0.023,0.029,0.038,0.057,0.168,0.282,0.289,0.204,0.765,0.075,0.009,0.099,0.000,0.024,0.028,0.052,0.181,0.819,0.091,0.130
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),12,0.332,0.151,0.139,0.145,0.093,0.062,0.021,0.024,0.033,0.093,0.185,0.288,0.259,0.175,0.745,0.091,0.010,0.081,0.000,0.033,0.040,0.072,0.177,0.823,0.096,0.123
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),178,0.353,0.166,0.132,0.144,0.061,0.063,0.018,0.025,0.038,0.039,0.159,0.281,0.299,0.222,0.756,0.080,0.008,0.109,0.000,0.021,0.026,0.045,0.168,0.832,0.086,0.120
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),199,0.332,0.156,0.126,0.153,0.075,0.065,0.024,0.030,0.039,0.060,0.173,0.292,0.278,0.197,0.772,0.067,0.009,0.098,0.001,0.025,0.028,0.054,0.186,0.814,0.092,0.134
