Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),650,1328,1328,4.3,4.3,0.068,0.178,0.192,0.158,0.115,0.072,0.057,0.040,0.025,0.018,0.015,0.012,0.050,0.077,0.161,0.191,0.188,0.106,0.072,0.050,0.043,0.030,0.018,0.064
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),21,1823,1823,6.3,6.3,0.044,0.074,0.162,0.221,0.103,0.029,0.029,0.044,0.000,0.044,0.103,0.044,0.103,0.044,0.059,0.015,0.412,0.029,0.029,0.044,0.147,0.074,0.044,0.103
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),112,1285,1285,4.3,4.3,0.095,0.119,0.151,0.190,0.130,0.105,0.062,0.049,0.024,0.016,0.024,0.011,0.024,0.092,0.105,0.130,0.281,0.111,0.081,0.051,0.038,0.035,0.027,0.049
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),230,1357,1357,4.4,4.4,0.063,0.201,0.195,0.130,0.124,0.069,0.051,0.039,0.027,0.021,0.014,0.013,0.053,0.065,0.154,0.218,0.161,0.120,0.068,0.057,0.043,0.030,0.014,0.070
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),193,1345,1345,4.2,4.2,0.065,0.196,0.187,0.154,0.096,0.059,0.076,0.042,0.031,0.020,0.006,0.008,0.060,0.077,0.212,0.205,0.160,0.083,0.066,0.049,0.043,0.020,0.019,0.066
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),94,1163,1163,4.0,4.0,0.064,0.176,0.244,0.183,0.122,0.074,0.035,0.029,0.016,0.006,0.003,0.010,0.038,0.096,0.167,0.215,0.151,0.128,0.090,0.032,0.026,0.038,0.006,0.051
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),643,1361,1361,4.3,4.3,0.064,0.156,0.192,0.156,0.126,0.081,0.058,0.040,0.029,0.021,0.017,0.011,0.049,0.069,0.155,0.195,0.196,0.107,0.076,0.048,0.044,0.034,0.014,0.062
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),14,1790,1790,6.9,6.9,0.000,0.111,0.148,0.186,0.111,0.000,0.037,0.111,0.000,0.037,0.148,0.037,0.074,0.000,0.037,0.037,0.445,0.000,0.000,0.074,0.148,0.074,0.000,0.185
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),135,1354,1354,4.4,4.4,0.076,0.099,0.148,0.197,0.133,0.122,0.061,0.053,0.023,0.023,0.027,0.015,0.023,0.072,0.084,0.137,0.308,0.114,0.091,0.053,0.038,0.038,0.019,0.046
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),210,1462,1462,4.5,4.5,0.051,0.166,0.206,0.116,0.152,0.084,0.043,0.036,0.031,0.017,0.019,0.012,0.067,0.048,0.133,0.219,0.181,0.125,0.070,0.060,0.051,0.031,0.012,0.070
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),198,1344,1344,4.1,4.1,0.063,0.185,0.189,0.152,0.096,0.066,0.086,0.033,0.038,0.025,0.003,0.008,0.056,0.079,0.213,0.223,0.145,0.079,0.069,0.038,0.043,0.030,0.018,0.063
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),86,1090,1090,3.7,3.7,0.090,0.162,0.244,0.192,0.126,0.054,0.030,0.036,0.018,0.012,0.006,0.006,0.024,0.102,0.202,0.192,0.138,0.132,0.096,0.030,0.024,0.036,0.006,0.042
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),602,1268,1268,4.4,4.4,0.078,0.221,0.182,0.159,0.106,0.051,0.044,0.044,0.022,0.015,0.016,0.011,0.051,0.073,0.192,0.173,0.179,0.097,0.075,0.047,0.051,0.029,0.018,0.066
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),30,1922,1922,5.7,5.7,0.111,0.037,0.223,0.222,0.037,0.037,0.000,0.000,0.000,0.074,0.111,0.000,0.148,0.074,0.111,0.000,0.371,0.037,0.037,0.000,0.222,0.074,0.037,0.037
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),57,1117,1117,4.2,4.2,0.132,0.206,0.132,0.208,0.132,0.038,0.019,0.038,0.019,0.000,0.038,0.000,0.038,0.094,0.207,0.170,0.113,0.113,0.057,0.075,0.057,0.038,0.019,0.057
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),259,1233,1233,4.4,4.4,0.068,0.253,0.197,0.132,0.081,0.056,0.064,0.047,0.021,0.021,0.009,0.013,0.038,0.068,0.215,0.188,0.150,0.098,0.077,0.038,0.038,0.030,0.021,0.077
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),167,1301,1301,4.4,4.4,0.078,0.236,0.157,0.170,0.098,0.052,0.039,0.052,0.026,0.007,0.013,0.007,0.065,0.059,0.196,0.176,0.190,0.105,0.078,0.065,0.052,0.007,0.013,0.059
Bus - StL Bus Index,Origin,N/A,27053001100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),89,1189,1189,4.1,4.1,0.062,0.173,0.209,0.160,0.198,0.049,0.025,0.037,0.025,0.000,0.000,0.025,0.037,0.099,0.136,0.185,0.223,0.086,0.086,0.037,0.025,0.049,0.012,0.062
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),876,1292,1292,4.2,4.2,0.074,0.151,0.217,0.168,0.117,0.074,0.049,0.037,0.025,0.020,0.016,0.011,0.041,0.080,0.172,0.218,0.180,0.099,0.075,0.043,0.026,0.017,0.017,0.073
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),40,1291,1291,4.6,4.6,0.008,0.182,0.280,0.159,0.106,0.068,0.030,0.030,0.030,0.023,0.038,0.008,0.038,0.015,0.098,0.296,0.197,0.091,0.091,0.061,0.038,0.015,0.030,0.068
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),175,1283,1283,4.0,4.0,0.067,0.114,0.213,0.179,0.141,0.097,0.048,0.034,0.034,0.016,0.017,0.009,0.031,0.040,0.155,0.284,0.216,0.097,0.076,0.026,0.010,0.012,0.010,0.074
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),226,1302,1302,4.1,4.1,0.077,0.154,0.235,0.150,0.112,0.068,0.043,0.040,0.029,0.021,0.015,0.012,0.044,0.102,0.177,0.181,0.192,0.101,0.068,0.053,0.029,0.016,0.015,0.066
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),253,1320,1320,4.2,4.2,0.093,0.167,0.183,0.169,0.114,0.069,0.050,0.034,0.024,0.019,0.012,0.017,0.049,0.104,0.188,0.198,0.154,0.103,0.071,0.037,0.027,0.020,0.025,0.073
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),182,1250,1250,4.6,4.6,0.064,0.152,0.234,0.182,0.106,0.069,0.059,0.040,0.010,0.023,0.018,0.007,0.036,0.071,0.175,0.203,0.167,0.096,0.086,0.053,0.035,0.018,0.013,0.083
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),805,1338,1338,4.3,4.3,0.063,0.141,0.219,0.167,0.117,0.081,0.050,0.039,0.028,0.020,0.020,0.013,0.042,0.063,0.168,0.224,0.188,0.094,0.083,0.044,0.031,0.020,0.013,0.072
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),23,1170,1170,4.1,4.1,0.000,0.227,0.295,0.159,0.091,0.091,0.000,0.000,0.023,0.068,0.023,0.000,0.023,0.023,0.045,0.295,0.319,0.114,0.068,0.023,0.068,0.000,0.000,0.045
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),205,1313,1313,4.0,4.0,0.062,0.095,0.205,0.201,0.127,0.109,0.050,0.040,0.042,0.012,0.017,0.010,0.030,0.037,0.139,0.283,0.241,0.092,0.075,0.030,0.007,0.012,0.012,0.072
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),207,1333,1333,4.1,4.1,0.049,0.165,0.232,0.146,0.138,0.067,0.040,0.047,0.022,0.022,0.020,0.010,0.042,0.067,0.183,0.195,0.199,0.104,0.074,0.064,0.030,0.015,0.007,0.062
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),240,1408,1408,4.4,4.4,0.078,0.158,0.200,0.145,0.101,0.076,0.059,0.034,0.027,0.023,0.017,0.023,0.059,0.091,0.189,0.207,0.149,0.084,0.078,0.032,0.038,0.025,0.023,0.084
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),130,1282,1282,4.6,4.6,0.067,0.130,0.241,0.190,0.103,0.067,0.059,0.043,0.016,0.016,0.028,0.008,0.032,0.055,0.174,0.202,0.134,0.095,0.123,0.063,0.051,0.032,0.004,0.067
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),954,1189,1189,4.1,4.1,0.097,0.176,0.230,0.152,0.106,0.069,0.043,0.034,0.019,0.014,0.012,0.013,0.035,0.105,0.200,0.187,0.165,0.108,0.070,0.044,0.017,0.017,0.022,0.065
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),87,1379,1379,4.9,4.9,0.013,0.165,0.251,0.165,0.101,0.063,0.051,0.051,0.038,0.000,0.038,0.013,0.051,0.013,0.139,0.265,0.127,0.089,0.101,0.089,0.025,0.025,0.051,0.076
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),101,961,961,3.1,3.1,0.122,0.233,0.258,0.111,0.144,0.033,0.033,0.011,0.000,0.022,0.011,0.000,0.022,0.056,0.345,0.200,0.144,0.111,0.056,0.022,0.011,0.000,0.011,0.044
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),268,1168,1168,3.9,3.9,0.116,0.154,0.264,0.137,0.071,0.075,0.046,0.029,0.033,0.021,0.008,0.021,0.025,0.166,0.179,0.145,0.178,0.091,0.066,0.050,0.021,0.025,0.025,0.054
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),259,1212,1212,4.1,4.1,0.134,0.177,0.172,0.172,0.116,0.069,0.039,0.039,0.017,0.004,0.009,0.013,0.039,0.125,0.191,0.185,0.155,0.116,0.069,0.043,0.013,0.017,0.017,0.069
Bus - StL Bus Index,Origin,N/A,27053001700,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),240,1212,1212,4.3,4.3,0.055,0.179,0.243,0.161,0.119,0.078,0.046,0.037,0.005,0.018,0.009,0.009,0.041,0.069,0.193,0.202,0.183,0.124,0.069,0.032,0.018,0.014,0.018,0.078
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),929,1292,1292,4.0,4.0,0.054,0.176,0.218,0.174,0.107,0.071,0.052,0.036,0.027,0.020,0.013,0.015,0.037,0.050,0.216,0.262,0.150,0.093,0.053,0.047,0.030,0.023,0.016,0.060
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38,1202,1202,3.8,3.8,0.039,0.195,0.251,0.211,0.039,0.063,0.078,0.031,0.000,0.039,0.008,0.023,0.023,0.023,0.383,0.219,0.125,0.047,0.016,0.055,0.023,0.016,0.023,0.070
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),194,1259,1259,3.6,3.6,0.039,0.140,0.225,0.215,0.122,0.086,0.047,0.033,0.027,0.016,0.009,0.014,0.027,0.025,0.189,0.390,0.145,0.086,0.048,0.028,0.014,0.019,0.017,0.039
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),274,1250,1250,3.8,3.8,0.069,0.211,0.225,0.153,0.094,0.059,0.047,0.032,0.024,0.016,0.013,0.012,0.045,0.064,0.241,0.253,0.147,0.081,0.052,0.048,0.027,0.024,0.014,0.049
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),256,1430,1430,4.5,4.5,0.058,0.155,0.187,0.159,0.113,0.075,0.064,0.036,0.040,0.030,0.015,0.019,0.049,0.058,0.197,0.195,0.159,0.106,0.064,0.057,0.040,0.030,0.015,0.079
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),168,1208,1208,4.3,4.3,0.043,0.186,0.236,0.177,0.115,0.072,0.041,0.050,0.020,0.011,0.013,0.013,0.023,0.050,0.199,0.250,0.152,0.109,0.050,0.050,0.038,0.018,0.016,0.068
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),895,1342,1342,4.1,4.1,0.055,0.155,0.214,0.172,0.112,0.076,0.058,0.036,0.027,0.023,0.016,0.016,0.040,0.050,0.214,0.259,0.150,0.093,0.053,0.046,0.030,0.027,0.019,0.059
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),31,1298,1298,3.4,3.4,0.016,0.143,0.364,0.190,0.032,0.032,0.063,0.032,0.000,0.048,0.016,0.032,0.032,0.016,0.476,0.238,0.032,0.048,0.000,0.063,0.000,0.032,0.032,0.063
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),230,1298,1298,3.6,3.6,0.042,0.119,0.201,0.229,0.128,0.088,0.058,0.038,0.022,0.020,0.013,0.015,0.027,0.027,0.188,0.391,0.150,0.069,0.042,0.027,0.018,0.022,0.024,0.042
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),238,1342,1342,3.9,3.9,0.064,0.200,0.226,0.153,0.093,0.057,0.049,0.032,0.025,0.019,0.017,0.008,0.057,0.059,0.240,0.244,0.155,0.085,0.049,0.045,0.032,0.025,0.011,0.055
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),253,1457,1457,4.7,4.7,0.068,0.127,0.194,0.137,0.120,0.088,0.078,0.040,0.038,0.028,0.014,0.020,0.048,0.068,0.198,0.167,0.153,0.106,0.072,0.062,0.036,0.040,0.020,0.078
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),142,1214,1214,4.3,4.3,0.050,0.189,0.224,0.171,0.121,0.075,0.039,0.032,0.021,0.021,0.021,0.018,0.018,0.050,0.182,0.228,0.161,0.136,0.054,0.050,0.043,0.014,0.021,0.061
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),898,1212,1212,4.0,4.0,0.061,0.213,0.216,0.170,0.099,0.050,0.053,0.038,0.029,0.015,0.007,0.016,0.033,0.056,0.227,0.262,0.149,0.088,0.048,0.059,0.030,0.015,0.007,0.059
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),56,1124,1124,4.5,4.5,0.080,0.260,0.120,0.160,0.060,0.120,0.120,0.020,0.000,0.020,0.000,0.020,0.020,0.040,0.260,0.180,0.220,0.060,0.020,0.060,0.060,0.000,0.020,0.080
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,1214,1214,4.0,4.0,0.039,0.221,0.272,0.182,0.078,0.065,0.026,0.013,0.065,0.000,0.000,0.013,0.026,0.052,0.208,0.259,0.143,0.195,0.078,0.026,0.013,0.000,0.000,0.026
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),330,1170,1170,3.7,3.7,0.078,0.217,0.230,0.139,0.105,0.041,0.047,0.044,0.024,0.017,0.010,0.017,0.031,0.064,0.258,0.261,0.132,0.071,0.051,0.068,0.024,0.017,0.007,0.047
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),251,1336,1336,4.2,4.2,0.052,0.215,0.188,0.175,0.109,0.039,0.048,0.022,0.039,0.026,0.013,0.022,0.052,0.048,0.201,0.253,0.170,0.092,0.052,0.048,0.031,0.013,0.009,0.083
Bus - StL Bus Index,Origin,N/A,27053002400,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),174,1139,1139,4.0,4.0,0.045,0.186,0.231,0.218,0.096,0.051,0.064,0.071,0.013,0.000,0.000,0.006,0.019,0.058,0.205,0.301,0.128,0.071,0.032,0.077,0.038,0.026,0.006,0.058
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),712,1242,1242,3.8,3.8,0.050,0.220,0.222,0.140,0.119,0.069,0.048,0.037,0.017,0.016,0.012,0.012,0.038,0.109,0.265,0.216,0.100,0.094,0.052,0.035,0.022,0.025,0.017,0.065
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),38,1066,1066,3.4,3.4,0.008,0.264,0.312,0.160,0.096,0.048,0.032,0.008,0.000,0.032,0.016,0.008,0.016,0.040,0.368,0.280,0.080,0.072,0.032,0.024,0.008,0.024,0.008,0.064
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),180,1226,1226,3.4,3.4,0.022,0.208,0.253,0.145,0.142,0.073,0.042,0.034,0.012,0.015,0.015,0.010,0.029,0.111,0.336,0.238,0.090,0.046,0.024,0.032,0.020,0.039,0.010,0.054
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),202,1261,1261,3.9,3.9,0.081,0.225,0.204,0.117,0.099,0.057,0.063,0.045,0.023,0.015,0.009,0.012,0.050,0.129,0.234,0.197,0.120,0.108,0.057,0.032,0.021,0.014,0.023,0.065
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),189,1327,1327,4.2,4.2,0.051,0.201,0.184,0.144,0.143,0.079,0.046,0.038,0.019,0.021,0.018,0.018,0.038,0.096,0.236,0.200,0.099,0.107,0.059,0.042,0.027,0.029,0.026,0.079
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),103,1138,1138,3.9,3.9,0.053,0.252,0.228,0.163,0.086,0.074,0.039,0.033,0.018,0.006,0.000,0.006,0.042,0.116,0.205,0.218,0.089,0.134,0.089,0.042,0.024,0.015,0.009,0.059
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),725,1250,1250,3.8,3.8,0.053,0.209,0.221,0.136,0.128,0.064,0.050,0.040,0.018,0.016,0.011,0.015,0.039,0.111,0.270,0.208,0.097,0.092,0.048,0.035,0.022,0.027,0.023,0.067
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),32,878,878,2.8,2.8,0.016,0.274,0.372,0.145,0.113,0.016,0.032,0.000,0.000,0.032,0.000,0.000,0.000,0.048,0.371,0.339,0.065,0.097,0.016,0.016,0.000,0.016,0.000,0.032
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),237,1195,1195,3.3,3.3,0.024,0.189,0.265,0.150,0.150,0.072,0.039,0.037,0.009,0.015,0.015,0.011,0.024,0.120,0.354,0.235,0.080,0.035,0.017,0.037,0.020,0.037,0.011,0.054
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),190,1293,1293,4.0,4.0,0.078,0.236,0.206,0.099,0.094,0.062,0.059,0.046,0.024,0.016,0.008,0.016,0.056,0.121,0.222,0.196,0.121,0.121,0.059,0.035,0.021,0.011,0.029,0.064
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),183,1388,1388,4.5,4.5,0.067,0.169,0.169,0.143,0.157,0.059,0.056,0.048,0.025,0.020,0.017,0.022,0.048,0.112,0.216,0.163,0.096,0.129,0.056,0.039,0.022,0.034,0.037,0.096
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),83,1149,1149,4.0,4.0,0.063,0.267,0.181,0.163,0.081,0.075,0.056,0.038,0.019,0.006,0.000,0.013,0.038,0.088,0.218,0.206,0.106,0.106,0.106,0.025,0.038,0.025,0.019,0.063
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),600,1208,1208,3.9,3.9,0.039,0.253,0.204,0.167,0.112,0.081,0.039,0.019,0.015,0.017,0.011,0.009,0.034,0.096,0.241,0.217,0.118,0.112,0.064,0.036,0.028,0.021,0.009,0.058
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),50,1150,1150,3.7,3.7,0.000,0.313,0.222,0.200,0.067,0.044,0.044,0.022,0.000,0.044,0.022,0.000,0.022,0.000,0.446,0.133,0.111,0.044,0.067,0.044,0.022,0.044,0.022,0.067
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),61,1226,1226,4.1,4.1,0.000,0.328,0.164,0.127,0.109,0.073,0.055,0.036,0.036,0.000,0.036,0.018,0.018,0.055,0.254,0.218,0.182,0.091,0.091,0.000,0.018,0.018,0.000,0.073
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),197,1265,1265,4.0,4.0,0.076,0.188,0.187,0.187,0.117,0.064,0.058,0.023,0.023,0.012,0.006,0.012,0.047,0.123,0.216,0.199,0.152,0.111,0.041,0.018,0.035,0.023,0.012,0.070
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),177,1222,1222,3.8,3.8,0.037,0.287,0.149,0.155,0.137,0.112,0.031,0.006,0.006,0.031,0.012,0.012,0.025,0.087,0.236,0.242,0.081,0.106,0.081,0.050,0.037,0.025,0.012,0.043
Bus - StL Bus Index,Origin,N/A,27053003801,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),115,1106,1106,4.0,4.0,0.020,0.245,0.333,0.157,0.088,0.078,0.010,0.020,0.010,0.000,0.000,0.000,0.039,0.127,0.196,0.245,0.088,0.167,0.059,0.059,0.010,0.000,0.000,0.049
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),655,1293,1293,3.6,3.6,0.063,0.224,0.213,0.152,0.100,0.060,0.048,0.028,0.027,0.016,0.010,0.007,0.052,0.153,0.271,0.185,0.111,0.088,0.047,0.036,0.024,0.019,0.009,0.057
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),19,1394,1394,3.9,3.9,0.079,0.190,0.270,0.095,0.095,0.032,0.095,0.032,0.032,0.032,0.000,0.000,0.048,0.111,0.238,0.238,0.159,0.095,0.016,0.016,0.032,0.016,0.000,0.079
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),143,1371,1371,3.4,3.4,0.038,0.204,0.203,0.155,0.123,0.079,0.054,0.027,0.027,0.021,0.010,0.015,0.044,0.142,0.285,0.167,0.142,0.098,0.044,0.044,0.023,0.013,0.006,0.036
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),204,1251,1251,3.5,3.5,0.079,0.216,0.213,0.162,0.088,0.053,0.041,0.035,0.031,0.019,0.010,0.003,0.050,0.170,0.284,0.165,0.113,0.072,0.051,0.039,0.020,0.022,0.007,0.057
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),178,1325,1325,3.9,3.9,0.050,0.218,0.226,0.156,0.095,0.067,0.052,0.027,0.023,0.012,0.007,0.010,0.057,0.151,0.233,0.196,0.101,0.095,0.050,0.044,0.023,0.025,0.015,0.067
Bus - StL Bus Index,Origin,N/A,27053003802,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),111,1197,1197,3.6,3.6,0.087,0.275,0.196,0.133,0.103,0.043,0.038,0.019,0.024,0.011,0.014,0.000,0.057,0.149,0.293,0.217,0.079,0.090,0.046,0.011,0.033,0.014,0.005,0.063
