Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
Destination,N/A,27053106900,no,N/A,no,0,744971773010490
Destination,N/A,27053107000,no,N/A,no,0,744894463562294
Destination,N/A,27053107400,no,N/A,no,0,745364762450512
Destination,N/A,27053107500,no,N/A,no,0,745349730108010
Destination,N/A,27053125600,no,N/A,no,0,745476431747710
Destination,N/A,27053125800,no,N/A,no,0,745111359402582
Destination,N/A,27053125900,no,N/A,no,0,745201553713754
Destination,N/A,27053126000,no,N/A,no,0,745027607542358
Destination,N/A,27053126101,no,N/A,no,0,745066262477356
Destination,N/A,27053126102,no,N/A,no,0,745081294828142
Destination,N/A,27053126201,no,N/A,no,0,744896611285608
Destination,N/A,27053126202,no,N/A,no,0,744986805633612
